Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,253.657,246.832,0,2,47,0,0,NA,NA,NA,NA,NA
2,1,2,253.657,246.832,300.011,2,77,0,0,NA,0,0,0,NA
3,1,3,253.657,250.814,600.022,2,19,3.981,3.981,NA,3.981,0.013,90,90
4,1,4,250.814,250.814,900.033,2,15,6.825,4.892,NA,2.844,0.009,180,90
5,1,5,250.814,251.951,1200.044,2,17,7.962,5.856,NA,1.137,0.004,90,-90
6,1,6,250.814,251.951,1500.056,2,18,7.962,5.856,NA,0,0,0,-90
7,1,7,250.814,255.932,1800.067,2,23,11.944,9.534,NA,3.981,0.013,90,90
8,1,8,253.657,261.62,2100.078,2,12,18.302,14.787,NA,6.359,0.021,63.435,-26.565
9,1,9,253.657,261.62,2400.089,2,14,18.302,14.787,NA,0,0,0,-63.435
10,1,10,251.951,270.151,2700.1,2,13,27.002,23.381,NA,8.7,0.029,101.31,101.31
11,1,11,251.951,272.994,3000.111,2,16,29.846,26.218,NA,2.844,0.009,90,-11.31
12,1,12,251.951,272.994,3300.122,2,8,29.846,26.218,NA,0,0,0,-90
13,1,13,246.832,277.544,3600.133,2,10,36.694,31.461,NA,6.849,0.023,138.366,138.366
14,1,14,246.832,286.644,3900.144,2,25,45.794,40.392,NA,9.1,0.03,90,-48.366
15,1,15,246.832,286.644,4200.156,2,10,45.794,40.392,NA,0,0,0,-90
16,1,16,248.539,298.588,4500.167,2,14,57.859,52.008,NA,12.065,0.04,81.87,81.87
17,1,17,248.539,307.119,4800.178,2,8,66.39,60.503,NA,8.531,0.028,90,8.13
18,1,18,244.557,307.119,5100.189,2,14,70.371,60.969,NA,3.981,0.013,180,90
19,1,19,244.557,308.825,5400.2,2,8,72.077,62.657,NA,1.706,0.006,90,-90
20,1,20,244.557,308.825,5700.211,2,11,72.077,62.657,NA,0,0,0,-90
21,1,21,248.539,308.825,6000.222,2,15,76.059,62.203,NA,3.981,0.013,0,0
22,1,22,248.539,308.825,6300.233,2,13,76.059,62.203,NA,0,0,0,0
23,1,23,253.089,312.806,6600.244,2,13,82.104,65.976,NA,6.046,0.02,41.186,41.186
24,1,24,259.345,324.75,6900.255,2,12,95.587,78.124,NA,13.483,0.045,62.354,21.168
25,1,25,262.757,326.456,7200.267,2,42,99.402,80.142,NA,3.815,0.013,26.565,-35.789
26,1,26,258.776,329.299,7500.278,2,25,104.295,82.626,NA,4.892,0.016,144.462,117.897
27,1,27,258.776,334.418,7800.289,2,15,109.414,87.735,NA,5.119,0.017,90,-54.462
28,1,28,265.032,350.343,8100.3,2,34,126.523,104.133,NA,17.109,0.057,68.552,-21.448
29,1,29,265.032,352.618,8400.311,2,22,128.798,106.395,NA,2.275,0.008,90,21.448
30,1,30,271.857,362.855,8700.322,2,24,141.102,117.441,NA,12.304,0.041,56.31,-33.69
31,1,31,270.151,381.055,9000.333,2,12,159.381,135.232,NA,18.279,0.061,95.356,39.046
32,1,32,270.719,385.036,9300.344,2,17,163.403,139.253,NA,4.022,0.013,81.87,-13.486
33,1,33,269.013,400.392,9600.355,2,27,178.853,154.325,NA,15.45,0.051,96.34,14.47
34,1,34,265.601,406.079,9900.367,2,21,185.486,159.694,NA,6.633,0.022,120.964,24.624
35,1,35,259.913,411.767,10200.378,2,50,193.529,165.053,NA,8.043,0.027,135,14.036
36,1,36,259.913,419.729,10500.389,2,204,201.491,173.01,NA,7.962,0.027,90,-45
37,1,37,259.913,419.729,10800.4,2,84,201.491,173.01,NA,0,0,0,-90
38,1,38,259.345,419.729,11100.411,2,60,202.06,172.99,NA,0.569,0.002,180,180
39,1,39,254.226,422.004,11400.422,2,49,207.661,175.172,NA,5.601,0.019,156.038,-23.962
40,1,40,254.226,432.81,11700.433,2,30,218.467,185.978,NA,10.806,0.036,90,-66.038
41,1,41,253.089,445.322,12000.444,2,46,231.031,198.49,NA,12.564,0.042,95.194,5.194
42,1,42,247.401,445.322,12300.455,2,34,236.719,198.588,NA,5.687,0.019,180,84.806
43,1,43,247.401,445.322,12600.467,2,39,236.719,198.588,NA,0,0,0,-180
44,1,44,253.089,449.303,12900.478,2,31,243.661,202.472,NA,6.942,0.023,34.992,34.992
45,1,45,253.089,458.972,13200.489,2,25,253.329,212.14,NA,9.669,0.032,90,55.008
46,1,46,242.283,469.778,13500.5,2,25,268.612,223.235,NA,15.282,0.051,135,45
47,1,47,232.614,474.896,13800.511,2,79,279.551,229.033,NA,10.94,0.036,152.103,17.103
48,1,48,231.476,483.996,14100.522,2,52,288.722,238.199,NA,9.171,0.031,97.125,-54.978
49,1,49,231.476,495.94,14400.533,2,33,300.666,250.093,NA,11.944,0.04,90,-7.125
