Nr,TID,PID,x [micron],y [micron],t [sec],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,14,119.245,18.389,1200.043,11,0,0,NA,NA,NA,NA,NA
2,1,15,126.829,29.006,1500.054,19,13.047,13.047,NA,13.047,0.043,54.462,NA
3,1,16,136.687,37.347,1800.065,12,25.96,25.76,NA,12.914,0.043,40.236,-14.226
4,1,17,147.303,37.347,2100.076,14,36.577,33.862,NA,10.616,0.035,0,-40.236
5,1,18,156.403,37.347,2400.086,18,45.677,41.714,NA,9.1,0.03,0,0
6,1,19,157.92,39.622,2700.097,19,48.411,44.119,NA,2.734,0.009,56.31,56.31
7,1,20,180.669,61.613,3000.108,15,80.052,75.108,NA,31.641,0.105,44.029,-12.281
8,1,2,200.196,78.486,3300.119,15,105.858,100.82,NA,25.806,0.086,40.83,-3.199
9,1,3,203.608,82.467,3600.13,9,111.102,105.939,NA,5.244,0.017,49.399,8.569
10,1,4,213.277,89.861,3900.14,11,123.273,118.11,NA,12.172,0.041,37.405,-11.993
11,1,5,227.495,93.842,4200.151,9,138.039,131.951,NA,14.765,0.049,15.642,-21.763
12,1,6,246.832,93.842,4500.162,12,157.376,148.228,NA,19.337,0.064,0,-15.642
13,1,7,265.601,105.217,4800.173,10,179.322,170.173,NA,21.946,0.073,31.218,31.218
14,1,8,275.269,117.729,5100.184,10,195.134,184.964,NA,15.813,0.053,52.306,21.087
15,1,9,275.269,117.729,5400.194,6,195.134,184.964,NA,0,0,0,-52.306
16,1,10,347.499,143.512,5700.205,19,271.828,260.299,NA,76.693,0.256,19.644,19.644
17,1,11,380.865,146.545,6000.216,12,305.331,291.322,NA,33.504,0.112,5.194,-14.45
18,1,12,420.298,146.545,6300.227,12,344.764,327.195,NA,39.433,0.131,0,-5.194
19,1,13,443.047,153.37,6600.238,19,368.515,350.809,NA,23.751,0.079,16.699,16.699
20,2,1,40.38,38.864,3000.108,15,0,0,NA,NA,NA,NA,NA
21,2,2,50.239,47.964,3300.119,7,13.416,13.416,NA,13.416,0.045,42.709,NA
22,2,3,67.68,47.964,3600.13,17,30.857,28.776,NA,17.441,0.058,0,-42.709
23,2,4,67.68,47.964,3900.14,16,30.857,28.776,NA,0,0,0,0
24,2,5,69.196,60.097,4200.151,11,43.085,35.794,NA,12.228,0.041,82.875,82.875
25,2,6,76.78,60.097,4500.162,18,50.668,42.14,NA,7.583,0.025,0,-82.875
26,2,7,76.78,60.097,4800.173,9,50.668,42.14,NA,0,0,0,0
27,2,8,82.088,60.097,5100.184,9,55.976,46.801,NA,5.308,0.018,0,0
28,2,9,87.396,61.613,5400.194,10,61.497,52.23,NA,5.521,0.018,15.945,15.945
29,2,10,101.046,63.888,5700.205,30,75.335,65.624,NA,13.838,0.046,9.462,-6.483
30,2,11,114.696,66.163,6000.216,13,89.173,79.171,NA,13.838,0.046,9.462,0
31,2,12,115.454,72.988,6300.227,12,96.04,82.465,NA,6.867,0.023,83.66,74.197
32,2,13,115.454,72.988,6600.238,11,96.04,82.465,NA,0,0,0,-83.66
33,2,14,108.629,72.988,6900.248,5,102.865,76.304,NA,6.825,0.023,180,180
34,2,15,108.629,72.988,7200.259,4,102.865,76.304,NA,0,0,0,-180
35,2,16,102.562,69.955,7500.27,18,109.647,69.522,NA,6.783,0.023,-153.435,-153.435
36,2,17,102.562,69.955,7800.281,25,109.647,69.522,NA,0,0,0,153.435
37,2,18,102.562,72.23,8100.292,10,111.922,70.568,NA,2.275,0.008,90,90
38,2,19,102.562,74.505,8400.302,12,114.197,71.672,NA,2.275,0.008,90,0
39,2,20,102.562,74.505,8700.313,20,114.197,71.672,NA,0,0,0,-90
40,2,21,102.562,74.505,9000.324,23,114.197,71.672,NA,0,0,0,0
